日期 最高气温 最低气温 天气 风向 风力
2018-08-01 34 27 多云 东风 2级
2018-08-02 33 27 雷阵雨 东北风 2级
2018-08-03 30 26 中雨 西南风 3级
2018-08-04 35 27 多云 东南风 3级
2018-08-05 36 28 多云 东南风 2级
2018-08-06 36 28 多云 东南风 2级
2018-08-07 36 27 晴 东南风 3级
2018-08-08 36 27 晴 东风 2级
2018-08-09 36 27 晴 东风 1级
2018-08-10 36 27 多云 东南风 1级
2018-08-11 35 27 多云 东北风 2级
2018-08-12 30 27 中雨 东北风 3级
2018-08-13 32 28 雷阵雨 东南风 3级
2018-08-14 34 28 多云 东风 3级
2018-08-15 34 28 多云 东风 1级
2018-08-16 32 26 雷阵雨 北风 4级
2018-08-17 28 26 大雨 东风 5级
2018-08-18 33 27 阴 东南风 4级
2018-08-19 33 27 多云 东南风 5级
2018-08-20 33 27 雷阵雨 西风 2级
2018-08-21 32 26 雷阵雨 东北风 2级
2018-08-22 31 26 雷阵雨 东北风 3级
2018-08-23 32 24 多云 西北风 2级
2018-08-24 31 25 多云 东北风 2级
2018-08-25 28 22 雷阵雨 东北风 2级
2018-08-26 30 26 雷阵雨 东南风 1级
2018-08-27 34 27 多云 东南风 4级
2018-08-28 34 27 多云 东南风 3级
2018-08-29 34 27 多云 东风 3级
2018-08-30 34 27 多云 东南风 2级
2018-08-31 33 27 雷阵雨 西北风 3级
